Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
1603f9c6-c49e-358f-cc1c-4c92c7924dbd,1994-11-26,,999-13-6654,S99914254,X40616470X,Mrs.,Catrina144,Lashell363,Cartwright189,,Bartoletti50,M,white,nonhispanic,F,Sudbury  Massachusetts  US,811 Champlin Frontage road,Boston,Massachusetts,Suffolk County,25017,02467,42.338436400515306,-71.03012871179241,94007.37,13977.70,170021
d6ddd422-c38a-5ca3-a77e-2dbd63a00113,1930-11-18,1976-02-08,999-86-7886,S99941126,X10020207X,Mrs.,Leonore418,Jimmie93,Hilpert278,,Schuster709,D,white,nonhispanic,F,Bridgewater  Massachusetts  US,810 Windler Union,Burlington,Massachusetts,Middlesex County,25017,01803,42.52608596530656,-71.18444605804957,114157.51,302346.60,389466
1739419d-98e4-5f73-8b83-aa414dcf46a3,2019-03-14,,999-24-5365,,,,Leonor133,Claudia969,Arenas932,,,,white,hispanic,F,Santo Domingo  National District  DO,611 Homenick Mall,North Westport,Massachusetts,Bristol County,,00000,41.66502249276127,-71.13299506584816,9935.53,8399.65,164901
41771dd4-24d0-0fd3-cb11-d96407742ce0,2013-05-09,,999-98-4744,,,,Shanel903,Voncile324,Quitzon246,,,,white,nonhispanic,F,Mansfield  Massachusetts  US,101 Wuckert Crossing,Mattapoisett,Massachusetts,Plymouth County,,00000,41.702320116712656,-70.77400699407578,28256.21,6319.90,55345
3590cb0d-1791-e563-42ab-7237059122d2,2012-10-27,,999-85-5464,,,,Emilio417,Emilio417,Montero62,,,,white,hispanic,M,Caracas  Capital District  VE,698 Schuster Divide,Charlton,Massachusetts,Worcester County,,00000,42.106166706491905,-71.95498087333382,35444.55,275.51,42801
e82e71a9-ae90-3430-66a5-7fac9066cd4c,1957-06-29,2004-01-31,999-54-4266,S99975971,X61248673X,Mr.,Bobby524,Lloyd546,Botsford977,,,S,white,nonhispanic,M,Medfield  Massachusetts  US,839 Sauer Park Apt 26,Pinehurst,Massachusetts,Middlesex County,25017,01866,42.56612792093901,-71.18459386493078,11740.19,184604.46,16068
dfa014f4-cbd0-8d37-7134-1fcbc1010c96,2001-10-28,,999-95-4407,S99973380,X31732241X,Ms.,Yolanda648,Catalina187,Santiago500,,,,white,hispanic,F,Bayamon  Puerto Rico  PR,973 Hintz Vale Suite 70,Quincy,Massachusetts,Norfolk County,25021,02169,42.302516617381634,-71.02353560622056,4850.00,225047.56,11403
004e8cce-7045-8cbe-9fe0-1df5305b2003,1969-09-27,2009-11-13,999-67-3618,S99926121,X49863759X,Mrs.,Dulcie148,Valentina258,Haag279,,Corwin846,M,white,nonhispanic,F,North Plymouth  Massachusetts  US,657 Schmeler Hollow Suite 71,Braintree,Massachusetts,Norfolk County,25021,02184,42.235504840419715,-71.05161326314322,745770.94,12871.37,110338
23479019-fd1e-2b8b-c892-7be8d51849d4,1967-12-28,,999-65-5981,S99958069,X76451629X,Mrs.,Samella245,Leta870,Goldner995,,Mraz590,W,white,nonhispanic,F,Lowell  Massachusetts  US,449 Osinski Route,Nantucket,Massachusetts,Nantucket County,25019,02554,41.29636033339265,-70.11089400202954,15702.73,600291.44,13167
58988810-805f-fcc1-0d46-689772c68b3e,1997-05-07,,999-42-5400,S99924375,X53220991X,Mrs.,Scarlett814,,Yost751,,Fisher429,M,native,nonhispanic,F,Lynn  Massachusetts  US,291 Runolfsdottir Grove,Fall River,Massachusetts,Bristol County,25005,02790,41.721913272577254,-71.22382634518151,150063.41,114649.43,135663
